,Journal Name,Title,Abstract,Article,References,Tables,Figures,Journal Link
0,https://us.sagepub.com/en-us/nam/cancer-control/journal203425#submission-guidelines,"'-----Title and Authors (On a separate title page)-----Title and Authors (On a separate title page)-----The
	citation for the original article including the full author list, title of article and journal
	information should be included on the title-----title of article and journal
	information should be included on the title page. The typical length of an auto-commentary will
	be approximately 500-1,000-----The
	citation for the original article including the full author list, title of article and journal
	information should be included on the title-----title of article and journal
	information should be included on the title page. The typical length of an auto-commentary will
	be approximately 500-1,000-----and focused opinion articles, commentaries on
	papers recently published in JOURNAL TITLE or elsewhere, or commentaries on significant
	conceptual changes, important trends or-----as Google. For information and guidance on how best to title your article, write your abstract and select your keywords, have-----6.1.1 Title and Authors (On a separate title page)-----The title should be in upper and lower case (Do not use-----For this reason, to aid in search-ability, words in the title should not
	be used as keywords. For keyword suggestions, please visit-----refer to the information and guidance on how best to title your article, write your abstract and select your keywords by","'-----Please make sure the abstract is a structured abstract with fewer than 250 words. The primary goal of the
	abstract should be to make the general significance and conceptual advance of the-----Please make sure the abstract is a structured abstract with fewer than 250 words. The primary goal of the
	abstract should be to make the general significance and conceptual advance of the work clearly
	accessible to a-----should be to make the general significance and conceptual advance of the work clearly
	accessible to a broad readership. References should not be cited in the abstract. Refer to this guide for properly structuring abstracts.-----Please make sure the abstract is a structured abstract with fewer than 250 words. The primary goal of the
	abstract should be to make the general significance and conceptual advance of the-----Please make sure the abstract is a structured abstract with fewer than 250 words. The primary goal of the
	abstract should be to make the general significance and conceptual advance of the work clearly
	accessible to a-----should be to make the general significance and conceptual advance of the work clearly
	accessible to a broad readership. References should not be cited in the abstract. Refer to this guide for properly structuring abstracts.-----Please make sure the abstract is a structured abstract with fewer than 250 words. The primary goal of the
	abstract should be to make the general significance and conceptual advance of the-----Please make sure the abstract is a structured abstract with fewer than 250 words. The primary goal of the
	abstract should be to make the general significance and conceptual advance of the work clearly
	accessible to a-----should be to make the general significance and conceptual advance of the work clearly
	accessible to a broad readership. References should not be cited in the abstract. Refer to this guide for properly structuring abstracts.-----The abstract includes a single paragraph of fewer than 150 words. The primary goal of the abstract
	should be to make the general significance and conceptual advance of-----the same
	charges as original papers -- whether APCs will apply for commissioned reviews will be made
	clear when each review is commissioned. Reviews should include an abstract of 150 words and
	should cite no more than 150 references. Please include 5-10 keywords for indexing purposes.-----Please include an abstract of 150-200 words and 5-10 keywords for indexing purposes. The
	citation for the original article including the full author list, title of article and journal
	information should-----elsewhere, or commentaries on significant
	conceptual changes, important trends or new directions in the field. These may include figures
	and up to 30 references. Please include an abstract of 150-200 words and 5-10 keywords for
	indexing purposes.-----When writing up your paper, think about how you can make it discoverable. The title, keywords and abstract are key to ensuring readers find your article through search engines such as Google. For information and guidance on how best to title your article,-----to ensuring readers find your article through search engines such as Google. For information and guidance on how best to title your article, write your abstract and select your keywords, have a look at this page on the Gateway: How to Help Readers Find Your Article Online.-----enrolment as a condition of consideration for publication. The trial registry name and URL, and registration number must be included at the end of the abstract.-----Abstract
	The abstract should be 250-300 words and should reflect the results. Describe the
	purpose of the study and briefly explain how the study was performed. Summarize the
	most important-----Abstract
	The abstract should be 250-300 words and should reflect the results. Describe the
	purpose of the study and briefly explain how the study was performed. Summarize the
	most important-----Keywords
	Following the abstract, please list 5-6 keywords for indexing the article. Keywords, along
	with the abstract and title, are central to ensuring that readers can search for and find
